"date","total","money","open","high","low","close","range","number",
"107/05/02",87000,"9,600,500",111.00,"112.00","109.50","109.50","-0.50","86",
"107/05/03",112002,"12,204,220",109.00,"110.50","108.00","108.50","-1.00","109",
"107/05/04",102000,"11,228,500",109.00,"111.50","108.00","110.00","+1.50","88",
"107/05/07",281135,"31,981,200",113.00,"115.50","111.00","115.00","+5.00","257",
"107/05/08",275050,"31,810,425",115.00,"116.50","115.00","116.00","+1.00","212",
"107/05/09",190027,"21,832,145",116.00,"116.00","113.50","113.50","-2.50","173",
"107/05/10",438300,"51,382,100",115.00,"118.50","114.50","117.50","+4.00","297",
"107/04/02",247055,"29,247,875",115.50,"120.00","115.50","120.00","+4.50","236",
"107/04/03",283225,"34,464,675",118.00,"123.00","118.00","121.00","+1.00","270",
"107/04/09",149050,"18,220,674",123.00,"123.00","121.50","122.00","+1.00","134",
"107/04/10",387225,"48,344,125",123.50,"126.50","123.00","124.00","+2.00","331",
"107/04/11",144250,"17,800,500",126.00,"126.00","121.50","122.00","-2.00","134",
"107/04/12",232034,"27,584,648",122.00,"122.00","118.00","119.50","-2.50","206",
"107/04/13",132000,"15,617,000",121.00,"121.00","117.50","118.50","-1.00","113",
"107/04/16",166000,"19,393,000",118.00,"118.50","116.00","117.00","-1.50","133",
"107/04/17",167050,"19,369,450",117.50,"117.50","115.00","117.00"," 0.00","153",
"107/04/18",222030,"25,716,010",116.00,"117.50","115.00","115.00","-2.00","178",
"107/04/19",168530,"19,605,510",115.50,"118.00","115.00","117.00","+2.00","155",
"107/04/20",155015,"18,343,875",117.00,"119.50","117.00","118.50","+1.50","131",
"107/04/23",125400,"14,623,400",118.50,"119.00","115.50","115.50","-3.00","103",
"107/04/24",341585,"38,086,935",115.00,"116.00","109.00","110.00","-5.50","280",
"107/04/25",126001,"13,981,617",109.00,"113.00","108.00","112.00","+2.00","99",
"107/04/26",196086,"21,531,632",112.00,"112.00","108.50","108.50","-3.50","163",
"107/04/27",86000,"9,486,000",110.50,"111.50","110.00","110.50","+2.00","68",
"107/04/30",124274,"13,743,688",111.50,"111.50","109.50","110.00","-0.50","108",


